1	Adc fill flag (0 no, 1 yes)

Slot#	Ch#	Tele#	Csi#
11	0	0	0
11	1	0	1
11	2	0	2
11	3	0	3
11	4	1	0
11	5	1	1
11	6	1	2
11	7	1	3
11	8	2	0
11	9	2	1
11	10	2	2
11	11	2	3
11	12	3	0
11	13	3	1
11	14	3	2
11	15	3	3
11	16	4	0
11	17	4	1
11	18	4	2
11	19	4	3
11	20	5	0
11	21	5	1
11	22	5	2
11	23	5	3
11	24	6	0
11	25	6	1
11	26	6	2
11	27	6	3
11	28	7	0
11	29	7	1
11	30	7	2
11	31	7	3
12	0	8	0
12	1	8	1
12	2	8	2
12	3	8	3
12	4	9	0
12	5	9	1
12	6	9	2
12	7	9	3
12	16	10	0
12	17	10	1
12	18	10	2
12	19	10	3
12	20	11	0
12	21	11	1
12	22	11	2
12	23	11	3
12	24	12	0
12	25	12	1
12	26	12	2
12	27	12	3
12	28	13	0
12	29	13	1
12	30	13	2
12	31	13	3
