#Tele  #Csi  #slope  #offset
0  0  0.0454  -2.8321
0  1  0.0454  -2.8321
0  2  0.0454  -2.8321
0  3  0.0495  -4.1923
1  0  0.0453  -2.2461
1  1  0.0492  -8.1782
1  2  0.0406  -2.068
1  3  0.0482  -2.492
2  0  0.0532  1.8972
2  1  0.0429  0.4553
2  2  0.0498  -4.5938
2  3  0.0481  -4.2256
3  0  0.0519  -3.2132
3  1  0.0414  -1.644
3  2  0.041  -1.5043
3  3  0.0423  -1.0467
4  0  0  -0
4  1  0  -0
4  2  0  -0
4  3  0  -0
5  0  0.0348  0.392
5  1  0.0361  -1.0356
5  2  0.0363  -1.7052
5  3  0.0329  0.4859
6  0  0.0419  -0.7576
6  1  0.0347  -0.3186
6  2  0.0335  -0.2238
6  3  0.0406  0.4535
7  0  0.05  2.8428
7  1  0.0415  2.5084
7  2  0.0414  3.6507
7  3  0.0465  0.5501
8  0  0.041  -4.0523
8  1  0.0385  -3.74
8  2  0.0419  -2.6833
8  3  0.0367  -1.1848
9  0  0.0537  -4.1077
9  1  0.037  -1.5429
9  2  0.0364  -2.1126
9  3  0.041  -2.053
10  0  0.0417  -0.276
10  1  0.0419  -1.0699
10  2  0.0378  -1.8804
10  3  0.0438  -0.879
11  0  0.0406  -1.2712
11  1  0.0686  -6.5076
11  2  0.0527  -3.5205
11  3  0.0641  -3.6134
12  0  0.0394  -1.9055
12  1  0.0393  -1.7739
12  2  0.0414  -2.3163
12  3  0.0428  -2.5637
13  0  0.055  -6.2295
13  1  0.0415  -1.9194
13  2  0.0415  -1.5723
13  3  0.0438  -2.1459
