#Tele  #Face  #Strip  #slope  #offset
0  0  0  0.000834  -1.15126
0  0  1  0.000763  -1.09147
0  0  2  0.000831  -1.19931
0  0  3  0.000752  -1.11282
0  0  4  0.000838  -1.19562
0  0  5  0.000829  -1.10385
0  0  6  0.000803  -1.1317
0  0  7  0.000854  -1.25272
0  0  8  0.000798  -1.13976
0  0  9  0.000826  -1.14558
0  0  10  0.000826  -1.1626
0  0  11  0.000841  -1.21253
0  0  12  0.000863  -1.2777
0  0  13  0.000846  -1.18473
0  0  14  0.000842  -1.25971
0  0  15  0.000841  -1.15817
0  0  16  0.00078  -1.15745
0  0  17  0.00082  -1.10993
0  0  18  0.000848  -1.21317
0  0  19  0.0008  -1.10008
0  0  20  0.000835  -1.15646
0  0  21  0.000893  -1.35903
0  0  22  0.000772  -1.13637
0  0  23  0.000773  -1.10658
0  0  24  0.000847  -1.18398
0  0  25  0.000824  -1.22304
0  0  26  0.000871  -1.14366
0  0  27  0.000858  -1.13438
0  0  28  0.000848  -1.14358
0  0  29  0.000853  -1.23489
0  0  30  0.000859  -1.23543
0  0  31  0.00084  -1.28067
0  1  0  1  0
0  1  1  1  0
0  1  2  1  0
0  1  3  1  0
0  1  4  1  0
0  1  5  1  0
0  1  6  1  0
0  1  7  1  0
0  1  8  1  0
0  1  9  1  0
0  1  10  1  0
0  1  11  1  0
0  1  12  1  0
0  1  13  1  0
0  1  14  0.001455  -0.324455
0  1  15  0.001512  -0.384504
0  1  16  0.001457  -0.526681
0  1  17  0.001522  -0.450787
0  1  18  0.001473  -0.658246
0  1  19  0.001528  -0.644928
0  1  20  0.001476  -0.701919
0  1  21  1  0
0  1  22  0.001445  -0.516278
0  1  23  0.00146  0.013965
0  1  24  1  0
0  1  25  1  0
0  1  26  1  0
0  1  27  1  0
0  1  28  1  0
0  1  29  1  0
0  1  30  1  0
0  1  31  1  0
0  2  0  1  0
0  2  1  1  0
0  2  2  1  0
0  2  3  1  0
0  2  4  1  0
0  2  5  1  0
0  2  6  1  0
0  2  7  1  0
0  2  8  1  0
0  2  9  1  0
0  2  10  1  0
0  2  11  1  0
0  2  12  1  0
0  2  13  1  0
0  2  14  1  0
0  2  15  1  0
0  2  16  1  0
0  2  17  1  0
0  2  18  1  0
0  2  19  1  0
0  2  20  1  0
0  2  21  1  0
0  2  22  1  0
0  2  23  1  0
0  2  24  1  0
0  2  25  1  0
0  2  26  1  0
0  2  27  1  0
0  2  28  1  0
0  2  29  1  0
0  2  30  1  0
0  2  31  1  0
1  0  0  0.000873  -1.09466
1  0  1  0.000873  -1.10336
1  0  2  0.000838  -1.07891
1  0  3  0.000891  -0.982117
1  0  4  0.000841  -0.905584
1  0  5  0.000861  -1.06919
1  0  6  0.000871  -1.08548
1  0  7  0.000884  -1.04611
1  0  8  0.000881  -1.0544
1  0  9  0.000876  -1.04707
1  0  10  0.000862  -1.05168
1  0  11  0.000765  -1.01131
1  0  12  0.00081  -0.94246
1  0  13  0.000817  -0.968479
1  0  14  0.000844  -1.01464
1  0  15  0.000905  -1.07331
1  0  16  0.00087  -1.23868
1  0  17  0.000893  -1.32257
1  0  18  0.000871  -1.26223
1  0  19  0.000863  -1.15877
1  0  20  0.000827  -1.26675
1  0  21  0.000854  -1.25749
1  0  22  0.000842  -1.27184
1  0  23  0.000878  -1.29797
1  0  24  0.000863  -1.30201
1  0  25  0.000862  -1.18638
1  0  26  0.00092  -1.33664
1  0  27  0.000803  -1.14051
1  0  28  0.000812  -1.13207
