#Tele  #Face  #Strip  #slope  #offset
0  0  0  0.000838  -1.19395
0  0  1  0.000763  -1.09259
0  0  2  0.000831  -1.20895
0  0  3  0.000752  -1.11104
0  0  4  0.00084  -1.2087
0  0  5  0.000826  -1.09258
0  0  6  0.000806  -1.16216
0  0  7  0.000854  -1.26675
0  0  8  0.000799  -1.14276
0  0  9  0.000826  -1.14327
0  0  10  0.000824  -1.14947
0  0  11  0.000843  -1.23365
0  0  12  0.000865  -1.2994
0  0  13  0.000845  -1.18042
0  0  14  0.000841  -1.2463
0  0  15  0.000842  -1.17345
0  0  16  0.00078  -1.15973
0  0  17  0.00082  -1.10444
0  0  18  0.000848  -1.22026
0  0  19  0.001836  -8.87026
0  0  20  0.002312  -12.6064
0  0  21  0.000893  -1.3643
0  0  22  0.000772  -1.14419
0  0  23  0.000773  -1.09948
0  0  24  0.000846  -1.17695
0  0  25  0.000823  -1.21694
0  0  26  0.00087  -1.13912
0  0  27  0.00086  -1.16051
0  0  28  0.000849  -1.15875
0  0  29  0.000853  -1.23427
0  0  30  0.000859  -1.24334
0  0  31  0.000839  -1.28242
0  1  0  1  0
0  1  1  1  0
0  1  2  1  0
0  1  3  1  0
0  1  4  1  0
0  1  5  1  0
0  1  6  1  0
0  1  7  1  0
0  1  8  1  0
0  1  9  1  0
0  1  10  1  0
0  1  11  1  0
0  1  12  1  0
0  1  13  1  0
0  1  14  0.001455  -0.324455
0  1  15  0.001512  -0.384504
0  1  16  0.001457  -0.526681
0  1  17  0.001522  -0.450787
0  1  18  0.001473  -0.658246
0  1  19  0.001528  -0.644928
0  1  20  0.001476  -0.701919
0  1  21  1  0
0  1  22  0.001445  -0.516278
0  1  23  0.00146  0.013965
0  1  24  1  0
0  1  25  1  0
0  1  26  1  0
0  1  27  1  0
0  1  28  1  0
0  1  29  1  0
0  1  30  1  0
0  1  31  1  0
0  2  0  1  0
0  2  1  1  0
0  2  2  1  0
0  2  3  1  0
0  2  4  1  0
0  2  5  1  0
0  2  6  1  0
