1	hira fill flag (0=no, 1 = yes)
# this line is no longer needed but left for compatibility

#MB	#CB	#slot	#Pos	#face
1	1	2  7	eb
1	2	3	7	ef
1	3	5	9	eb
1	4	6	9	ef
1	5	8	6	eb
1	6	9	6	ef
1	7	11	5	eb
1	8	12	5	ef
1	9	14	4	eb
1	10	15	4	ef
2	1	2  13	eb
2	2	3	13	ef
2	3	5	12	eb
2	4	6	12	ef
2	5	8	8	eb
2	6	9	8	ef
2	7	11	11	eb
2	8	12	11	ef
2	9	14	10	eb
2	10	15	10	ef
3	1	2	3	eb
3	2	3 	3	ef
3	3	5	2	eb
3	4	6	2	ef	
3	5	8	1	eb
3	6	9	1	ef
3	7	11	0	eb
3	8	12	0	ef
4	1	1	12	de
4	2	2	10	de
4	3	4	13	de
4	4	5	11	de
4	5	6	6	de
4	6	7	7	de
4	7	8	5	de
4	8	9	8	de
4	9	10	9	de
4	10	11	0	de
4	11	12	1	de
4	12	13	2	de
4	13	15	3	de
4	14	16	4	de
